parlgov_id,country,year,tweet_count,retweet_total,populist,left_right,election_year,seats_per,gdp,pop
2644,FRA,2018,4079,528349,1,1.3,0,2.946273830155979,46398,66941698
2645,FIN,2018,2338,9430,1,8.8,0,NA,49376.2,5515525
2647,ROU,2018,1006,134,0,6,0,6.079027355623101,29303.8,19471332
2649,DEU,2018,562,53151,0,NA,0,0,54652.8,82914191
2652,AUT,2018,30,11,0,NA,0,0,56889.4,8837707
2668,SVN,2018,346,664,1,3.3,1,14.444444444444445,38785.5,2070050
2669,SVN,2018,285,815,0,3.3,1,0,38785.5,2070050
2670,SVN,2018,1101,6919,1,1.3,1,10,38785.5,2070050
2716,LVA,2018,3447,277382,0,3.3,1,0,30659.3,1927170
2717,LVA,2018,1573,16913,0,7.4,1,16,30659.3,1927170
2732,FRA,2018,1450,204214,0,3.3,0,NA,46398,66941698
2733,FRA,2018,556,81806,0,NA,0,NA,46398,66941698
2734,FRA,2018,620,86766,0,7.4,0,NA,46398,66941698
2735,NLD,2018,282,2705,0,NA,0,NA,57560.1,17231622
2736,DEU,2018,413,2978,0,2.5,0,NA,54652.8,82914191
2737,ITA,2018,1428,67643,0,6,1,0.31746031746031744,42790.1,60421797
2742,GRC,2018,1213,59750,1,1.3,0,NA,30354.3,10725886
2746,ROU,2018,461,11,0,6,0,NA,29303.8,19471332
2751,SVK,2018,102,575,0,6,0,NA,32579.4,5446771
2752,SVK,2018,23,327,0,6,0,NA,32579.4,5446771
2756,PRT,2018,21,39,0,6,0,NA,34340.8,10283822
2758,PRT,2018,211,15,0,6,0,NA,34340.8,10283822
2766,LUX,2018,50,416,0,NA,0,NA,116622.2,607950
2780,GRC,2018,1312,10637,1,7.4,0,NA,30354.3,10725886
2792,ESP,2018,10284,1772786,0,1.3,0,NA,40542.2,46733038
171,BEL,2018,64,1,1,9.655,0,0.6666666666666667,52249.8,11403740
219,EST,2018,103,40,0,2.5,0,0,36299.9,1321977
301,DEU,2018,572,2133,0,NA,0,NA,54652.8,82914191
351,NOR,2018,20,31,1,8.7595,0,15.976331360946746,67639.1,5311916
789,CZE,2018,1243,7933,0,3.0463,0,7.5,41049.3,10626430
1029,BEL,2018,89,41,0,3.2459,0,8.666666666666668,52249.8,11403740
1120,ROU,2018,23,425,0,3.2325,0,46.808510638297875,29303.8,19471332
1176,FRA,2018,145,1774,0,0,0,0,46398,66941698
1202,HUN,2018,513,89,0,0.6316,0,0,31578.8,9767600
1251,NLD,2018,86,722,0,8.7531,0,2,57560.1,17231622
1283,POL,2018,2033,14194,0,7.4,0,NA,31471.2,38413139
1338,GRC,2018,1294,23097,0,4.4968,0,5,30354.3,10725886
1539,FRA,2018,26,203,0,3.2493,0,5.1993067590987865,46398,66941698
2078,FRA,2018,859,78030,0,6,0,0.34662045060658575,46398,66941698
2109,NLD,2018,1080,15710,0,6,0,2.666666666666667,57560.1,17231622
2382,HRV,2018,40,25,0,2.5,0,0,28103.6,4080666
